"file" "checksum" "built" "date"
"CODE_OF_CONDUCT.md" "c93c83c630db2fe2462240bf72552548" "site/built/CODE_OF_CONDUCT.md" "2023-07-17"
"LICENSE.md" "b24ebbb41b14ca25cf6b8216dda83e5f" "site/built/LICENSE.md" "2023-07-17"
"config.yaml" "b91cd97fa3b408bd1ac0a00e67ab3219" "site/built/config.yaml" "2023-07-17"
"index.md" "7f9c30e6487338a0c3f8ecc4018873ab" "site/built/index.md" "2023-07-17"
"episodes/00-introduction.Rmd" "23afc306d3ca75b46cbebfe21e0d060a" "site/built/00-introduction.md" "2023-08-10"
"episodes/01-r-basics.Rmd" "0eb79b968f69f7261700e00f202265cc" "site/built/01-r-basics.md" "2023-08-10"
"episodes/02-data-prelude.Rmd" "ab2b1fd3cdaae919f9e409f713a0a8ad" "site/built/02-data-prelude.md" "2023-07-17"
"episodes/03-basics-factors-dataframes.Rmd" "1e9fafb7ff3365395cd21c3f22bdc9e6" "site/built/03-basics-factors-dataframes.md" "2023-08-10"
"episodes/04-bioconductor-vcfr.Rmd" "10eb69b4697d7ecb9695d36c0d974208" "site/built/04-bioconductor-vcfr.md" "2023-08-10"
"episodes/05-dplyr.Rmd" "38856e8092a531616cc0017849b3cf02" "site/built/05-dplyr.md" "2023-07-17"
"episodes/06-data-visualization.Rmd" "d401da790d5aa5d7855be7958be2dd7f" "site/built/06-data-visualization.md" "2023-07-17"
"episodes/07-r-help.Rmd" "5e97b3a6c240ad84ebbae31a1c68944f" "site/built/07-r-help.md" "2023-08-10"
"instructors/instructor-notes.md" "78f6fe6109a0eb19a16ec6663941da7f" "site/built/instructor-notes.md" "2023-07-17"
"learners/discuss.md" "522bcb192adf6702a2e3cb2f0d1412b5" "site/built/discuss.md" "2023-07-17"
"learners/reference.md" "4e0dcbc7892af6f9610d44d356e66617" "site/built/reference.md" "2023-07-17"
"learners/setup.md" "a5508a423bbc008a0cb09c53d92f3118" "site/built/setup.md" "2023-08-10"
"profiles/learner-profiles.md" "60b93493cf1da06dfd63255d73854461" "site/built/learner-profiles.md" "2023-07-17"
"renv/profiles/lesson-requirements/renv.lock" "e8c60fdef3c31c33d44a0ae75d476afd" "site/built/renv.lock" "2023-07-17"
